Appearance
Tall with a wiry build, curly red hair, and freckles
Short and stout, bald with a long white beard
Slender with long, flowing black hair and piercing blue eyes
Muscular with a shaved head and tribal tattoos
Average height, glasses, neatly combed brown hair
Athletic build, auburn hair tied in a messy bun
Curvy figure, long blonde hair with a flower crown
Lanky with unkempt brown hair and mismatched clothes
Well-groomed beard, bald head, round glasses
Petite and delicate, long black hair and green eyes
Broad shoulders, rugged features, scruffy beard
Tanned skin, short curly hair, tribal face paint
Lithe and graceful, short silver hair and pointed ears
Stocky build, messy brown hair, a scar across the cheek
Tall and slender, long white hair and ice-blue eyes
Heavyset with a jovial smile, bald head and rosy cheeks
Chiseled jawline, short black hair, intense green eyes
Tiny stature, fiery red hair and a mischievous grin
Angular features, long dark hair, pale skin
Tall and imposing, shaved head with a single earring
Curly hair and warm brown eyes, always seen in elegant attire
Slim and wiry, buzzed hair and a collection of piercings
Auburn hair in braids, freckles, and a mischievous glint
Rugged with a long beard, worn leather armor
Tattoos covering the arms and shaved head, wears tribal jewelry
Curvaceous and confident, short vibrant blue hair
Bald with a long, flowing beard and serene expression
Slim figure, delicate features, and an air of mystery
Toned muscles and tan skin, a braid of white hair
Short and pudgy with rosy cheeks, always laughing
Tall and thin, messy dark hair, constantly scribbling in a notebook
Braided beard, round glasses, well-tailored clothing
Graceful and poised, long silver hair and striking violet eyes
Stocky build, short black hair, a no-nonsense expression
Lean and agile, golden hair and a mischievous smirk
Heavyset with a boisterous laugh, a curly mustache
Rugged with a beard and scars, a perpetual smirk
Curly hair and round glasses, always inquisitive
Tall with an air of elegance, long blonde hair and a regal demeanor
Compact and fierce, wild red hair and a fiery gaze
Mysterious and aloof, long black hair and dark clothing
Well-dressed with a refined appearance, a monocle
Slender and androgynous, multicolored hair and vibrant makeup
Stout and barrel-chested, a bushy beard and hearty laugh
Tattoos covering the arms, a shaved head, and a playful grin
Pale and ethereal, long white hair and distant eyes
Toned and confident, short silver hair and a charismatic smile
Muscular and imposing, bald with tribal markings
Lively and energetic, tousled hair and vibrant clothes
